trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
19671327,BTC-USD,SELL,2017-08-23T12:02:05.342Z,0.23971827,BTC,4223.62,2.531197199,1009.947682,USD
19708326,BTC-USD,BUY,2017-08-24T10:44:27.793Z,0.04780041,BTC,4173.63,0.498753063,-199.9999783,USD
19708709,BTC-USD,SELL,2017-08-24T11:04:46.845Z,0.04780041,BTC,4191.59,0.500899301,199.8588213,USD
19762807,BTC-USD,BUY,2017-08-25T19:41:17.301Z,0.00999772,BTC,4362.52,0.109038134,-43.72429159,USD
19762808,BTC-USD,BUY,2017-08-25T19:41:17.301Z,0.06,BTC,4362.52,0.654378,-262.405578,USD
19762809,BTC-USD,BUY,2017-08-25T19:41:17.301Z,0.04432911,BTC,4362.52,0.483466572,-193.8700955,USD
19763708,BTC-USD,BUY,2017-08-25T19:53:06.250Z,0.11560973,BTC,4314.11,1.246882731,-499.999975,USD
19773698,BTC-USD,BUY,2017-08-26T02:15:29.250Z,0.06935137,BTC,4315.01,0.748129638,-299.9999847,USD
19827088,BTC-USD,SELL,2017-08-27T21:29:50.741Z,0.25,BTC,4369,2.730625,1089.519375,USD
19832806,BTC-USD,BUY,2017-08-28T00:07:54.157Z,0.07832309,BTC,4323.01,0,-338.5915013,USD
19833473,BTC-USD,BUY,2017-08-28T00:18:40.085Z,0.24561629,BTC,4312.05,0,-1059.109723,USD
19833474,BTC-USD,BUY,2017-08-28T00:18:40.200Z,0.00438371,BTC,4312.05,0,-18.90277671,USD
19834908,BTC-USD,BUY,2017-08-28T00:49:05.399Z,0.3745644,BTC,4312.96,4.038703187,-1619.519978,USD
1390836,ETH-BTC,BUY,2017-08-29T11:28:14.462Z,3.02050702,ETH,0.08252,0.000747757,-0.249999996,BTC
1402597,ETH-BTC,BUY,2017-08-31T09:54:31.970Z,3.00920246,ETH,0.08283,0.000747757,-0.249999996,BTC
4595176,LTC-USD,BUY,2017-08-25T13:14:11.956Z,4.00936651,LTC,50.48,0.607178464,-202.9999999,USD
4616926,LTC-USD,SELL,2017-08-25T21:31:52.417Z,0.49355,LTC,51.11,0.075676022,25.14966448,USD
4616927,LTC-USD,SELL,2017-08-25T21:31:52.417Z,0.26139697,LTC,51.11,0.040079997,13.31991914,USD
4616928,LTC-USD,SELL,2017-08-25T21:31:52.417Z,3.25441954,LTC,51.11,0.499000148,165.8343825,USD
4620449,LTC-USD,BUY,2017-08-26T02:13:54.629Z,4.37855572,LTC,50.55,0.664007975,-221.9999996,USD
4642904,LTC-USD,SELL,2017-08-26T15:57:18.908Z,4.37855572,LTC,51.97,0.682660622,226.8708801,USD
4702811,LTC-USD,BUY,2017-08-27T18:37:18.135Z,8.04169199,LTC,61.99,1.495513459,-499.9999999,USD
4705299,LTC-USD,SELL,2017-08-27T19:29:19.319Z,0.04169199,LTC,63.21,0.007906052,2.627444636,USD
4712072,LTC-USD,SELL,2017-08-27T21:14:44.213Z,8,LTC,64.25,1.542,512.458,USD
4760094,LTC-USD,BUY,2017-08-28T14:55:59.579Z,15.75,LTC,62.25,0,-980.4375,USD
4863700,LTC-USD,SELL,2017-08-31T00:21:53.739Z,6.009044,LTC,67.35,1.21412734,403.4949861,USD
4863701,LTC-USD,SELL,2017-08-31T00:21:53.739Z,13.990956,LTC,67.35,2.82687266,939.4640139,USD
4866078,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.74988881,LTC,65.94,0.148343004,-49.59601114,USD
4866079,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75016,LTC,65.94,0.148396651,-49.61394705,USD
4866080,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75027,LTC,65.94,0.148418411,-49.62122221,USD
4866081,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75039,LTC,65.94,0.14844215,-49.62915875,USD
4866082,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.7505,LTC,65.94,0.14846391,-49.63643391,USD
4866083,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75061,LTC,65.94,0.14848567,-49.64370907,USD
4866084,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75073,LTC,65.94,0.148509409,-49.65164561,USD
4866085,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75084,LTC,65.94,0.148531169,-49.65892077,USD
4866086,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75096,LTC,65.94,0.148554907,-49.66685731,USD
4866087,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75107,LTC,65.94,0.148576667,-49.67413247,USD
4866088,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75118,LTC,65.94,0.148598428,-49.68140763,USD
4866089,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.7513,LTC,65.94,0.148622166,-49.68934417,USD
4866090,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.3,LTC,65.94,0.059346,-19.841346,USD
4866091,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75141,LTC,65.94,0.148643926,-49.69661933,USD
4866092,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.75153,LTC,65.94,0.148667665,-49.70455586,USD
4866093,LTC-USD,BUY,2017-08-31T00:47:03.000Z,0.268,LTC,65.94,0.05301576,-17.72493576,USD
4866094,LTC-USD,BUY,2017-08-31T00:47:03.000Z,9.10628371,LTC,65.94,1.801405044,-602.2697529,USD
4870256,LTC-USD,SELL,2017-08-31T02:17:20.044Z,21,LTC,67.7,4.2651,1417.4349,USD
4874257,LTC-USD,BUY,2017-08-31T03:11:31.393Z,21.03807624,LTC,67.2,4.24127617,-1417.999999,USD
4934647,LTC-USD,SELL,2017-08-31T21:24:29.265Z,20,LTC,73.45,4.407,1464.593,USD
4936630,LTC-USD,BUY,2017-08-31T21:46:38.206Z,19.5,LTC,74.36,0,-1450.02,USD
745481,LTC-BTC,BUY,2017-08-28T23:27:19.899Z,0.09776,LTC,0.01421,4.16751E-06,-0.001393337,BTC
745482,LTC-BTC,BUY,2017-08-28T23:27:19.899Z,17.43059566,LTC,0.01422,0.000743589,-0.248606659,BTC
746773,LTC-BTC,BUY,2017-08-29T13:12:09.299Z,4,LTC,0.01383,0.00016596,-0.05548596,BTC
746774,LTC-BTC,BUY,2017-08-29T13:12:09.299Z,0.015,LTC,0.01383,6.2235E-07,-0.000208072,BTC
746775,LTC-BTC,BUY,2017-08-29T13:12:09.299Z,1.25,LTC,0.01384,0.0000519,-0.0173519,BTC
746776,LTC-BTC,BUY,2017-08-29T13:12:09.299Z,12.73825198,LTC,0.01385,0.000529274,-0.176954064,BTC
746954,LTC-BTC,SELL,2017-08-29T13:41:14.396Z,0.03,LTC,0.01356,1.2204E-06,0.00040558,BTC
746955,LTC-BTC,SELL,2017-08-29T13:41:14.396Z,29.97,LTC,0.01356,0.00121918,0.40517402,BTC
9757461,ETH-USD,BUY,2017-08-25T19:51:00.575Z,1.51066543,ETH,329.99,1.495513456,-499.9999987,USD
9773731,ETH-USD,BUY,2017-08-26T02:12:51.168Z,0.99697848,ETH,327.01,0.978065798,-326.9999985,USD
9802611,ETH-USD,SELL,2017-08-26T14:21:16.913Z,2.50764391,ETH,334.31,2.514991307,835.8154442,USD
10024707,ETH-USD,BUY,2017-08-31T02:08:49.850Z,0.0523,ETH,382.11,0,-19.984353,USD
10054705,ETH-USD,BUY,2017-08-31T22:27:36.762Z,0.03804437,ETH,388.38,0.044327017,-14.81999944,USD
